kodifikasi,nama,lokasi,kotamadya,kecamatan,kelurahan,luas,jenis
21040045,JH Cempaka Putih Timur XI A, Jl Cempaka Putih Timur XI A , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,300, Jalur Hijau Jalan 
821040025,JH Cempaka Putih Timur XXX, Jl. Cempaka Putih Tm. XXX , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,860, Jalur Hijau Jalan 
21040017,JH Cempaka Putih Raya, Jl Cempaka Putih Raya , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,7280, Jalur Hijau Jalan 
21040043,JH Cempaka Putih Timur V, Jl Cempaka Putih Timur V , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
821040018,JH Cempaka Putih Timur VII, Jl. Cempaka Putih Tm. VII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,800, Jalur Hijau Jalan 
21040001,JH Ahmad Yani, Jl Ahmad Yani , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,15786, Jalur Hijau Jalan 
21040050,JH Cempaka Putih Timur XXV, Jl Cempaka Putih Timur XXV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,800, Jalur Hijau Jalan 
821040046,JH Cempaka Putih Teng. XXVIII, Jl. Cempaka Putih Teng. XXVIII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,600, Jalur Hijau Jalan 
21040034,JH Cempaka Putih Tengah XXVII, Jl Cempaka Putih Tengah XXVII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1450, Jalur Hijau Jalan 
21040073,JH Cempaka Putih Timur IV, Jl Cempaka Putih Timur IV , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,300, Jalur Hijau Jalan 
821040032,JH Cempaka Putih Teng. XIII, Jl. Cempaka Putih Teng. XIII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,2300, Jalur Hijau Jalan 
21040046,JH Cempaka Putih Timur XII, Jl Cempaka Putih Timur XII , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,1000, Jalur Hijau Jalan 
821040026,JH Pinggir Kali Utan Kayu, Jl. Pinggir Kali Utan Kayu , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,77500, Jalur Hijau Jalan 
821040024,JH Cempaka Putih Timur XII a, Jl. Cempaka Putih Tm. XII a , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,220, Jalur Hijau Jalan 
21040042,JH Cempaka Putih Timur Raya, Jl Cempaka Putih Timur Raya , Jakarta Pusat , Cempaka Putih , Cempaka Putih Timur ,6412, Jalur Hijau Jalan 
21070086,JH Petojo Selatan IX, Jl Petojo Selatan IX , Jakarta Pusat , Gambir , -   ,115, Jalur Hijau Jalan 
21070057,JH Makmur, JL Makmur , Jakarta Pusat , Gambir , -   ,60, Jalur Hijau Jalan 
21070074,JH Petojo Barat, Jl Petojo Barat , Jakarta Pusat , Gambir , -   ,129, Jalur Hijau Jalan 
21070035,JH Hayam Wuruk, Jl Hayam Wuruk , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070022,JH Citarum, Jl Citarum , Jakarta Pusat , Gambir , -   ,450, Jalur Hijau Jalan 
21070010,JH Batutulis XIII, JL Batutulis , Jakarta Pusat , Gambir , -   ,13, Jalur Hijau Jalan 
21070109,JH Tidore, Jl Tidore , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070097,JH Subur Baru, Jl Subur Baru , Jakarta Pusat , Gambir , -   ,1850, Jalur Hijau Jalan 
21070055,JH Lematang, Jl Lematang , Jakarta Pusat , Gambir , -   ,6, Jalur Hijau Jalan 
21070084,JH Petojo Sabangan XI, JL Petojo Sabangan , Jakarta Pusat , Gambir , -   ,1000, Jalur Hijau Jalan 
21070072,JH Persatuan Guru, Jl Persatuan Guru , Jakarta Pusat , Gambir , -   ,743, Jalur Hijau Jalan 
21070044,JH Kapuas, Jl Kapuas , Jakarta Pusat , Gambir , -   ,388, Jalur Hijau Jalan 
21070033,JH Halmahera, Jl Halmahera , Jakarta Pusat , Gambir , -   ,76, Jalur Hijau Jalan 
21070107,JH Tanah Abang V, Jl Tanah Abang V , Jakarta Pusat , Gambir , -   ,964, Jalur Hijau Jalan 
21070095,JH Siantar, Jl Siantar , Jakarta Pusat , Gambir , -   ,1045, Jalur Hijau Jalan 
21070070,JH Pembangunan II, Jl Pembangunan II , Jakarta Pusat , Gambir , -   ,122, Jalur Hijau Jalan 
21070053,JH Kesehatan VI, Jl Kesehatan VI , Jakarta Pusat , Gambir , -   ,500, Jalur Hijau Jalan 
21070081,JH Petojo Enclek XIV, Jl Petojo Enclek XIV , Jakarta Pusat , Gambir , -   ,64, Jalur Hijau Jalan 
