provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Pasar Minggu,12520A,Jakarta Selatan Pasar Minggu,KPCDK,Jl. Ragunan Pasar Minggu
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Ragunan,12550D1,LE Pertanian,LE,Gd. Kementan
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Cilandak,12560A,Jakarta Selatan LIP,KPCDK,Jl. Ampera Raya
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pasar Minggu,Cilandak Timur,12560B,Jakarta Selatan CCE,KPCDK,Jl. Raya Cilandak KKO
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa,Lenteng Agung,12610A,Jakarta Selatan Lenteng Agung,KPCDK,Jl. Agung Raya
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Jagakarsa,Srengseng Sawah,12640A,Jakarta Selatan Srengseng Sawah,KPCDK,Jl. M. Kahfi II
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Srengseng Sawah,Srengseng Sawah,12640D1,LE Ciganjur,LE,Jl. M. Kahfi  I
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,12700,Jakarta Selatan Mampang,KPCDK,Jl. Kapten Piere Tendean No. 43
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,12710D1,LE Gatot Subroto,LE,Gd. Telkom
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,12710D2,LE LIPI,LE,Gd LIPI /PDII
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Kuningan Barat,Mampang Prapatan,12710D3,LE TIFA,LE,Gd. Tifa
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan,Bangka,12730A,Jakarta Selatan Kemang,KPCDK,Jl. Kemang Selatan No. 30
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pancoran,Kalibata,12740A,Jakarta Selatan Kalibata,KPCDK,Jl. Warung Buncit No. 448
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Mampang Prapatan,Tegal Parang,12760A,Jakarta Selatan Duren Tiga,KPCDK,Jl. Kampung Prapatan XI No. 10A
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pancoran,Pengadegan,12770A,Jakarta Selatan Pengadegan,KPCDK,Jl. Kartika Raya No. 4
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pancoran,Pancoran,12780D1,LE Sucofindo,LE,Gd. Succofindo
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Pancoran,Tegal Parang,12790D1,LE Depnaker,LE,Gd. Kemenaker
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Tebet Barat,12810A,Jakarta Selatan Tebet Barat,KPCDK,Jl. Tebet Barat
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Tebet Barat,12810D1,LE Mugi Griya,LE,Gd. Mugi Griya
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Tebet Barat,12810D2,LE Putra Surya Prima,LE,Gd. Graha Pratama
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Tebet Timur,12820A,Jakarta Selatan Tebet Timur,KPCDK,Jl. Tebet Timur Dalam II/2
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Kebon Baru,12830A,Jakarta Selatan Kebon Baru,KPCDK,Jl. Kebon Baru IV
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Bukit Duri,12840A,Jakarta Selatan Bukit Duri,KPCDK,Jl. Sawo Kecik No. 10
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Tebet,Menteng Dalam,12870D1,LE Wisma Bidakara,LE,Gd. Bidakara
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,,,12870D2,LE Mandiri Plaza,LE,Gd. Mandiri Plaza
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet,12920A,Jakarta Selatan Setiabudi,KPCDK,Jl. Karet Raya
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet,12920B,Jakarta Selatan Metropolitan Dua,KPCDK,Jl. Jendral Sudirman Kav. 29-31
Daerah Khusus Ibukota Jakarta,Jakarta Selatan,Setiabudi,Karet,12920C,Jakarta Selatan Setiabudi Bld,KPCDK,Jl. HR. Rasuna Said Kav. 26
